script_id,topic,error_category,act_no,act_id,act_text
S001,Literature: Poems,Conceptual Gap,1,S001a01,"I see you've identified the 'woods' in the poem, but is the poet really just talking about trees?"
S001,Literature: Poems,Conceptual Gap,2,S001a02,"Cuba fikir, if the woods represent a difficult choice in life, how does that change the meaning?"
S001,Literature: Poems,Conceptual Gap,3,S001a03,The 'Two-Column T-Chart': Ask the student to list 3 objects from the poem in the left column (Literal) and brainstorm what feelings or ideas those objects could represent in the right column (Figurative).
S002,Literature: Novel,Conceptual Gap,1,S002a01,"You've explained the events very well, but let's look at the 'why' behind the characters' actions."
S002,Literature: Novel,Conceptual Gap,2,S002a02,"If the character's struggle is the 'what', what big life lesson is the author trying to teach us through that struggle?"
S002,Literature: Novel,Conceptual Gap,3,S002a03,"The 'Big Idea' Funnel: Ask the student to summarize a plot event in one sentence, then ask 'Why does this matter to everyone in the world?' to help them extract the universal theme."
S003,Global Issues and Current Affairs,Conceptual Gap,1,S003a01,"You've identified the main points, but are these statements proven truths or just how the writer feels?"
S003,Global Issues and Current Affairs,Conceptual Gap,2,S003a02,"Look for 'signal words' like 'I believe' or 'should'—do those sound like cold, hard facts to you?"
S003,Global Issues and Current Affairs,Conceptual Gap,3,S003a03,The 'Fact-Checker' Highlighter: Give the student two highlighters; ask them to highlight sentences with statistics/dates in one color and sentences with emotive adjectives or 'should/ought' in another.
S004,Science and Technology,Conceptual Gap,1,S004a01,"It's a bit tricky to see how these steps connect, isn't it?"
S004,Science and Technology,Conceptual Gap,2,S004a02,"If we remove this one specific step, cuba fikir, would the end result still happen or would the whole process break down?"
S004,Science and Technology,Conceptual Gap,3,S004a03,The 'Logic Chain' Drawing: Have the student draw three boxes with arrows (A -> B -> C) and fill them in to show how one action directly triggers the next result in the text.
S005,Media and Communication,Conceptual Gap,1,S005a01,"The information is clear, but who do you think this article was written for—a group of teenagers or a group of scientists?"
S005,Media and Communication,Conceptual Gap,2,S005a02,Think about the 'vibe' of the language; is it trying to make you feel a certain way or just give you data?
S005,Media and Communication,Conceptual Gap,3,S005a03,"The 'Who's the Target?' Roleplay: Ask the student to imagine they are the editor and choose one specific person (e.g., a worried parent) who would be most affected by this text and explain why."
S006,Grammar in Context,Careless Error,1,S006a01,"I can see you know your grammar rules, but a few 's' endings are missing here and there."
S006,Grammar in Context,Careless Error,2,S006a02,"Before you hand it in, can you try the 'Finger-Point' method to match each subject with its verb one by one?"
S006,Grammar in Context,Careless Error,3,S006a03,"The 'S-V Match' Speed Round: Give the student 3 sentences from their own work and ask them to circle the subject and underline the verb, then check if they 'agree' (singular/plural) within 60 seconds."
S007,Vocabulary Building,Careless Error,1,S007a01,"You've got the right root word, which is great!"
S007,Vocabulary Building,Careless Error,2,S007a02,"But look at the sentence structure—do we need a 'thing' (noun) here, or a word that describes the 'thing' (adjective)?"
